country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Germany,International,3795,4.122221980839,4.1387351778656125,45178.0
Germany,Irish,112,0.1216571440985423,4.183035714285714,3695.0
Germany,Israeli,42,0.045621429036953355,4.285714285714286,584.0
Germany,Italian,12907,14.01989963285612,4.047687301464322,120567.0
Germany,Jamaican,8,0.008689796007038734,4.125,32.0
Germany,Japanese,1241,1.3480046055918837,4.070104754230459,16139.0
Germany,Japanese Fusion,63,0.06843214355543004,4.523809523809524,421.0
Germany,Japanese sweets parlour,4,0.004344898003519367,4.25,11.0
Germany,Kaiseki,2,0.0021724490017596835,4.5,24.0
Germany,Korean,199,0.2161586756750885,4.28140703517588,2037.0
Germany,Kyushu cuisine,1,0.0010862245008798417,4.5,11.0
Germany,Latin,189,0.20529643066629014,4.026455026455026,4469.0
Germany,Latvian,2,0.0021724490017596835,4.75,24.0
Germany,Lazio,11,0.011948469509678261,4.363636363636363,787.0
Germany,Lebanese,143,0.15533010362581737,4.3671328671328675,1906.0
Germany,Ligurian,2,0.0021724490017596835,4.0,18.0
Germany,Lombard,6,0.006517347005279051,4.666666666666667,331.0
Germany,Malaysian,6,0.006517347005279051,3.9166666666666665,179.0
Germany,Medicinal foods,9,0.009776020507918577,4.5,24.0
Germany,Mediterranean,8102,8.800590906128479,4.114477906689706,110007.0
Germany,Mexican,563,0.611544393995351,3.758436944937833,7845.0
Germany,Middle Eastern,1099,1.193760726466946,4.212920837124659,11188.0
Germany,Mongolian,324,0.3519367382850688,3.549382716049383,2797.0
Germany,Moroccan,69,0.0749494905607091,4.318840579710145,417.0
Germany,Native American,12,0.013034694010558102,4.125,46.0
Germany,Neapolitan,82,0.08907040907214704,4.365853658536586,1873.0
Germany,Nepalese,32,0.034759184028154935,4.390625,438.0
Germany,New Zealand,3,0.0032586735026395256,4.333333333333333,5.0
Germany,Nigerian,3,0.0032586735026395256,4.333333333333333,6.0
Germany,Northern-Italian,80,0.08689796007038735,4.25625,1201.0
Germany,Norwegian,4,0.004344898003519367,4.0,28.0
Germany,Not specified,18702,20.3145706154548,3.9991712116351192,83807.0
Germany,Pakistani,58,0.06300102105103082,4.163793103448276,777.0
Germany,Persian,141,0.1531576546240577,4.173758865248227,1576.0
