country,cuisines,restaurant_count,percentage,average_rating,total_reviews,obesity_rate,GDP per capita
Belgium,Contemporary,53,0.9724770642201834,4.264150943396227,1126.0,24.1,46200.90445
Belgium,Croatian,3,0.055045871559633,4.333333333333333,26.0,24.1,46200.90445
Belgium,Cuban,2,0.036697247706422,4.0,139.0,24.1,46200.90445
Belgium,Czech,1,0.018348623853211,4.5,5.0,24.1,46200.90445
Belgium,Danish,1,0.018348623853211,4.5,100.0,24.1,46200.90445
Belgium,Deli,63,1.1559633027522935,4.206349206349207,520.0,24.1,46200.90445
Belgium,Diner,28,0.5137614678899083,3.9107142857142856,474.0,24.1,46200.90445
Belgium,Dining bars,23,0.4220183486238532,4.195652173913044,337.0,24.1,46200.90445
Belgium,Dutch,11,0.201834862385321,3.909090909090909,111.0,24.1,46200.90445
Belgium,Eastern European,8,0.146788990825688,4.1875,72.0,24.1,46200.90445
Belgium,Emilian,1,0.018348623853211,4.5,110.0,24.1,46200.90445
Belgium,European,2251,41.30275229357798,4.023545091070635,34036.0,24.1,46200.90445
Belgium,Fast food,250,4.587155963302752,3.904,2712.0,24.1,46200.90445
Belgium,French,1826,33.5045871559633,4.091730558598028,29647.0,24.1,46200.90445
Belgium,Fujian,2,0.036697247706422,4.0,2.0,24.1,46200.90445
Belgium,Fusion,48,0.8807339449541285,4.270833333333333,1110.0,24.1,46200.90445
Belgium,Gastropub,125,2.293577981651376,4.032,2055.0,24.1,46200.90445
Belgium,German,11,0.201834862385321,4.2727272727272725,60.0,24.1,46200.90445
Belgium,Greek,105,1.926605504587156,4.038095238095238,1742.0,24.1,46200.90445
Belgium,Grill,151,2.770642201834862,3.966887417218543,2850.0,24.1,46200.90445
Belgium,Hawaiian,6,0.110091743119266,4.666666666666667,31.0,24.1,46200.90445
Belgium,Healthy,102,1.8715596330275228,4.362745098039215,1751.0,24.1,46200.90445
Belgium,Indian,32,0.5871559633027523,4.140625,585.0,24.1,46200.90445
Belgium,International,97,1.779816513761468,4.123711340206185,1389.0,24.1,46200.90445
Belgium,Irish,4,0.073394495412844,3.5,32.0,24.1,46200.90445
Belgium,Israeli,2,0.036697247706422,5.0,15.0,24.1,46200.90445
Belgium,Italian,911,16.71559633027523,3.9851811196487374,14019.0,24.1,46200.90445
Belgium,Jamaican,3,0.055045871559633,4.666666666666667,5.0,24.1,46200.90445
Belgium,Japanese,135,2.4770642201834865,3.937037037037037,1748.0,24.1,46200.90445
Belgium,Japanese Fusion,4,0.073394495412844,5.0,37.0,24.1,46200.90445
Belgium,Korean,6,0.110091743119266,4.75,49.0,24.1,46200.90445
Belgium,Latin,7,0.128440366972477,4.214285714285714,192.0,24.1,46200.90445
Belgium,Lebanese,49,0.8990825688073394,4.275510204081633,537.0,24.1,46200.90445
Belgium,Medicinal foods,1,0.018348623853211,4.5,10.0,24.1,46200.90445
Belgium,Mediterranean,355,6.513761467889909,4.147887323943662,5987.0,24.1,46200.90445
Belgium,Mexican,24,0.4403669724770642,3.625,259.0,24.1,46200.90445
Belgium,Middle Eastern,99,1.81651376146789,4.196969696969697,1244.0,24.1,46200.90445
Belgium,Mongolian,2,0.036697247706422,4.5,3.0,24.1,46200.90445
Belgium,Moroccan,82,1.5045871559633028,4.121951219512195,934.0,24.1,46200.90445
Belgium,Neapolitan,3,0.055045871559633,4.0,81.0,24.1,46200.90445
Belgium,Nepalese,1,0.018348623853211,5.0,4.0,24.1,46200.90445
Belgium,Northern-Italian,7,0.128440366972477,4.142857142857143,132.0,24.1,46200.90445
Belgium,Norwegian,1,0.018348623853211,5.0,1.0,24.1,46200.90445
Belgium,Not specified,724,13.284403669724773,3.860497237569061,4341.0,24.1,46200.90445
Belgium,Pakistani,2,0.036697247706422,3.75,8.0,24.1,46200.90445
Belgium,Persian,3,0.055045871559633,4.5,8.0,24.1,46200.90445
Belgium,Peruvian,2,0.036697247706422,4.0,50.0,24.1,46200.90445
Belgium,Philippine,3,0.055045871559633,3.5,28.0,24.1,46200.90445
Belgium,Pizza,301,5.522935779816514,3.897009966777409,4152.0,24.1,46200.90445
Belgium,Polish,1,0.018348623853211,4.5,14.0,24.1,46200.90445
Belgium,Portuguese,17,0.3119266055045871,4.029411764705882,397.0,24.1,46200.90445
Belgium,Pub,248,4.5504587155963305,3.903225806451613,2785.0,24.1,46200.90445
Belgium,Romanian,1,0.018348623853211,4.0,3.0,24.1,46200.90445
Belgium,Russian,3,0.055045871559633,4.833333333333333,15.0,24.1,46200.90445
Belgium,Sardinian,2,0.036697247706422,4.75,16.0,24.1,46200.90445
Belgium,Scandinavian,1,0.018348623853211,5.0,2.0,24.1,46200.90445
Belgium,Seafood,63,1.1559633027522935,4.055555555555555,1995.0,24.1,46200.90445
Belgium,Sicilian,10,0.1834862385321101,4.45,132.0,24.1,46200.90445
Belgium,Soups,42,0.7706422018348624,4.130952380952381,328.0,24.1,46200.90445
Belgium,South American,15,0.2752293577981651,4.066666666666666,84.0,24.1,46200.90445
Belgium,Southern-Italian,28,0.5137614678899083,4.214285714285714,325.0,24.1,46200.90445
Belgium,Southwestern,4,0.073394495412844,3.875,65.0,24.1,46200.90445
Belgium,Spanish,52,0.9541284403669724,4.144230769230769,835.0,24.1,46200.90445
Belgium,Steakhouse,62,1.1376146788990826,3.975806451612903,1461.0,24.1,46200.90445
Belgium,Street Food,43,0.7889908256880734,4.197674418604652,336.0,24.1,46200.90445
Belgium,Sushi,71,1.3027522935779816,3.880281690140845,724.0,24.1,46200.90445
Belgium,Swedish,2,0.036697247706422,3.0,34.0,24.1,46200.90445
Belgium,Swiss,12,0.2201834862385321,3.9583333333333335,119.0,24.1,46200.90445
Belgium,Taiwanese,3,0.055045871559633,4.333333333333333,9.0,24.1,46200.90445
Belgium,Thai,115,2.1100917431192663,4.078260869565217,1420.0,24.1,46200.90445
Belgium,Tibetan,2,0.036697247706422,4.5,8.0,24.1,46200.90445
Belgium,Tunisian,29,0.5321100917431192,4.0344827586206895,466.0,24.1,46200.90445
Belgium,Turkish,52,0.9541284403669724,4.057692307692308,303.0,24.1,46200.90445
Belgium,Tuscan,3,0.055045871559633,4.333333333333333,220.0,24.1,46200.90445
Belgium,Ukrainian,1,0.018348623853211,4.0,8.0,24.1,46200.90445
Belgium,Vietnamese,70,1.2844036697247707,4.0,936.0,24.1,46200.90445
Belgium,Wine Bar,67,1.2293577981651376,4.32089552238806,440.0,24.1,46200.90445
Croatia,Afghani,1,0.0351370344342937,4.0,4.0,26.5,23301.27286
Croatia,African,2,0.0702740688685874,4.5,3.0,26.5,23301.27286
Croatia,Albanian,2,0.0702740688685874,4.75,3.0,26.5,23301.27286
Croatia,American,71,2.494729444834856,4.154929577464789,3280.0,26.5,23301.27286
Croatia,Arabic,3,0.1054111033028812,4.666666666666667,64.0,26.5,23301.27286
Croatia,Asian,56,1.9676739283204496,4.107142857142857,3016.0,26.5,23301.27286
Croatia,Austrian,3,0.1054111033028812,4.333333333333333,77.0,26.5,23301.27286
Croatia,Bar,193,6.781447645818693,4.290155440414508,8854.0,26.5,23301.27286
Croatia,Barbecue,310,10.89248067463106,4.119354838709677,14899.0,26.5,23301.27286
Croatia,Beer restaurants,1,0.0351370344342937,5.0,7.0,26.5,23301.27286
Croatia,Belgian,2,0.0702740688685874,4.5,39.0,26.5,23301.27286
Croatia,Brazilian,2,0.0702740688685874,4.0,27.0,26.5,23301.27286
Croatia,Brew Pub,14,0.4919184820801124,4.392857142857143,591.0,26.5,23301.27286
Croatia,British,1,0.0351370344342937,4.0,24.0,26.5,23301.27286
Croatia,Cafe,265,9.311314125087842,4.296226415094339,8261.0,26.5,23301.27286
Croatia,Campania,7,0.2459592410400562,4.285714285714286,708.0,26.5,23301.27286
Croatia,Central American,1,0.0351370344342937,4.0,7.0,26.5,23301.27286
Croatia,Central European,208,7.308503162333099,4.168269230769231,24022.0,26.5,23301.27286
